-------------------------------G4_H
-------------------------------sigma-
### Fill Cross Sections for sigma- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  523   1.718e+04     0.00664     0.02922      0.03586
  524   1.758e+04    0.006634     0.02922      0.03586
  525   1.799e+04    0.006629     0.02922      0.03585
  526   1.841e+04    0.006623     0.02922      0.03584
  527   1.884e+04    0.006618     0.02922      0.03583
  528   1.928e+04    0.006612     0.02921      0.03582
  529   1.972e+04    0.006606     0.02921      0.03582
  530   2.018e+04      0.0066     0.02921      0.03581
  531   2.065e+04    0.006594      0.0292       0.0358
  532   2.113e+04    0.006588      0.0292      0.03579
  533   2.163e+04    0.006582      0.0292      0.03578
  534   2.213e+04    0.006576      0.0292      0.03577
  535   2.265e+04    0.006569     0.02919      0.03576
  536   2.317e+04    0.006562     0.02919      0.03575
  537   2.371e+04    0.006555     0.02919      0.03574
  538   2.427e+04    0.006548     0.02918      0.03573
  539   2.483e+04    0.006541     0.02918      0.03572
  540   2.541e+04    0.006534     0.02918      0.03571
  541     2.6e+04    0.006526     0.02917       0.0357
  542   2.661e+04    0.006519     0.02917      0.03569
  543   2.723e+04    0.006511     0.02916      0.03567
  544   2.786e+04    0.006503     0.02916      0.03566
  545   2.851e+04    0.006494     0.02916      0.03565
  546   2.917e+04    0.006486     0.02915      0.03564
  547   2.985e+04    0.006477     0.02915      0.03563
  548   3.055e+04    0.006468     0.02915      0.03561
  549   3.126e+04    0.006459     0.02914       0.0356
  550   3.199e+04     0.00645     0.02914      0.03559
  551   3.273e+04    0.006441     0.02913      0.03558
  552    3.35e+04    0.006431     0.02913      0.03556
  553   3.428e+04    0.006421     0.02913      0.03555
  554   3.508e+04    0.006411     0.02912      0.03553
  555   3.589e+04      0.0064     0.02912      0.03552
  556   3.673e+04     0.00639     0.02912      0.03551
  557   3.758e+04    0.006379     0.02911      0.03549
  558   3.846e+04    0.006368     0.02911      0.03548
  559   3.936e+04    0.006356     0.02911      0.03546
  560   4.027e+04    0.006345      0.0291      0.03545
  561   4.121e+04    0.006333      0.0291      0.03543
  562   4.217e+04    0.006321      0.0291      0.03542
  563   4.315e+04    0.006308     0.02909       0.0354
  564   4.416e+04    0.006295     0.02909      0.03539
  565   4.519e+04    0.006282     0.02909      0.03537
  566   4.624e+04    0.006269     0.02909      0.03536
  567   4.732e+04    0.006255     0.02908      0.03534
  568   4.842e+04    0.006241     0.02908      0.03532
  569   4.955e+04    0.006227     0.02908      0.03531
  570    5.07e+04    0.006212     0.02908      0.03529
  571   5.188e+04    0.006197     0.02908      0.03527
  572   5.309e+04    0.006182     0.02907      0.03526
  573   5.433e+04    0.006166     0.02907      0.03524
  574   5.559e+04     0.00615     0.02907      0.03522
  575   5.689e+04    0.006133     0.02907       0.0352
  576   5.821e+04    0.006116     0.02907      0.03518
  577   5.957e+04    0.006099     0.02907      0.03517
  578   6.095e+04    0.006082     0.02907      0.03515
  579   6.237e+04    0.006063     0.02906      0.03513
  580   6.383e+04    0.006045     0.02906      0.03511
  581   6.531e+04    0.006026     0.02906      0.03509
  582   6.683e+04    0.006007     0.02906      0.03507
  583   6.839e+04    0.005987     0.02906      0.03505
  584   6.998e+04    0.005967     0.02906      0.03503
  585   7.161e+04    0.005946     0.02906      0.03501
  586   7.328e+04    0.005925     0.02906      0.03499
  587   7.499e+04    0.005903     0.02906      0.03497
  588   7.674e+04    0.005881     0.02907      0.03495
  589   7.852e+04    0.005858     0.02907      0.03492
  590   8.035e+04    0.005835     0.02907       0.0349
