-------------------------------G4_H
-------------------------------proton
### Fill Cross Sections for proton off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  506   1.161e+04    0.009538     0.02767      0.03721
  507   1.189e+04    0.009482     0.02768      0.03716
  508   1.216e+04    0.009426     0.02768       0.0371
  509   1.245e+04    0.009371     0.02768      0.03705
  510   1.274e+04     0.00932     0.02768        0.037
  511   1.303e+04    0.009269     0.02769      0.03696
  512   1.334e+04    0.009218     0.02769      0.03691
  513   1.365e+04    0.009167     0.02769      0.03686
  514   1.396e+04    0.009115     0.02769      0.03681
  515   1.429e+04    0.009066      0.0277      0.03676
  516   1.462e+04     0.00902      0.0277      0.03672
  517   1.496e+04    0.008973      0.0277      0.03667
  518   1.531e+04    0.008926      0.0277      0.03663
  519   1.567e+04     0.00888     0.02771      0.03659
  520   1.603e+04    0.008833     0.02771      0.03654
  521   1.641e+04    0.008789     0.02771       0.0365
  522   1.679e+04    0.008747     0.02771      0.03646
  523   1.718e+04    0.008704     0.02771      0.03642
  524   1.758e+04    0.008662     0.02772      0.03638
  525   1.799e+04    0.008619     0.02772      0.03634
  526   1.841e+04    0.008577     0.02772       0.0363
  527   1.884e+04    0.008538     0.02772      0.03626
  528   1.928e+04    0.008499     0.02772      0.03622
  529   1.972e+04    0.008461     0.02773      0.03619
  530   2.018e+04    0.008422     0.02773      0.03615
  531   2.065e+04    0.008383     0.02773      0.03611
  532   2.113e+04    0.008346     0.02773      0.03608
  533   2.163e+04    0.008311     0.02773      0.03604
  534   2.213e+04    0.008276     0.02774      0.03601
  535   2.265e+04    0.008241     0.02774      0.03598
  536   2.317e+04    0.008205     0.02774      0.03595
  537   2.371e+04     0.00817     0.02774      0.03591
  538   2.427e+04    0.008137     0.02775      0.03588
  539   2.483e+04    0.008106     0.02775      0.03585
  540   2.541e+04    0.008074     0.02775      0.03583
  541     2.6e+04    0.008042     0.02776       0.0358
  542   2.661e+04     0.00801     0.02776      0.03577
  543   2.723e+04    0.007978     0.02776      0.03574
  544   2.786e+04     0.00795     0.02776      0.03571
  545   2.851e+04    0.007921     0.02777      0.03569
  546   2.917e+04    0.007892     0.02777      0.03566
  547   2.985e+04    0.007864     0.02778      0.03564
  548   3.055e+04    0.007835     0.02778      0.03561
  549   3.126e+04    0.007807     0.02778      0.03559
  550   3.199e+04    0.007781     0.02779      0.03557
  551   3.273e+04    0.007756     0.02779      0.03555
  552    3.35e+04     0.00773      0.0278      0.03553
  553   3.428e+04    0.007704      0.0278      0.03551
  554   3.508e+04    0.007678     0.02781      0.03549
  555   3.589e+04    0.007654     0.02781      0.03547
  556   3.673e+04    0.007631     0.02782      0.03545
  557   3.758e+04    0.007608     0.02782      0.03543
  558   3.846e+04    0.007585     0.02783      0.03541
  559   3.936e+04    0.007562     0.02783       0.0354
  560   4.027e+04    0.007539     0.02784      0.03538
  561   4.121e+04    0.007518     0.02785      0.03537
  562   4.217e+04    0.007498     0.02785      0.03535
  563   4.315e+04    0.007477     0.02786      0.03534
  564   4.416e+04    0.007457     0.02787      0.03532
  565   4.519e+04    0.007436     0.02787      0.03531
  566   4.624e+04    0.007417     0.02788       0.0353
  567   4.732e+04    0.007398     0.02789      0.03529
  568   4.842e+04     0.00738      0.0279      0.03528
  569   4.955e+04    0.007362      0.0279      0.03527
  570    5.07e+04    0.007344     0.02791      0.03526
  571   5.188e+04    0.007325     0.02792      0.03525
  572   5.309e+04    0.007309     0.02793      0.03524
  573   5.433e+04    0.007293     0.02794      0.03523
  574   5.559e+04    0.007277     0.02795      0.03522
  575   5.689e+04    0.007261     0.02796      0.03522
  576   5.821e+04    0.007245     0.02797      0.03521
  577   5.957e+04     0.00723     0.02798      0.03521
  578   6.095e+04    0.007216     0.02799       0.0352
  579   6.237e+04    0.007202       0.028       0.0352
  580   6.383e+04    0.007188     0.02801      0.03519
  581   6.531e+04    0.007174     0.02802      0.03519
  582   6.683e+04     0.00716     0.02803      0.03519
  583   6.839e+04    0.007147     0.02804      0.03519
  584   6.998e+04    0.007135     0.02805      0.03519
  585   7.161e+04    0.007123     0.02806      0.03519
  586   7.328e+04    0.007111     0.02807      0.03519
  587   7.499e+04    0.007099     0.02809      0.03519
  588   7.674e+04    0.007088      0.0281      0.03519
  589   7.852e+04    0.007078     0.02811      0.03519
  590   8.035e+04    0.007067     0.02813      0.03519
  591   8.222e+04    0.007057     0.02814       0.0352
  592   8.414e+04    0.007047     0.02815       0.0352
  593    8.61e+04    0.007037     0.02817       0.0352
  594    8.81e+04    0.007028     0.02818      0.03521
  595   9.016e+04    0.007019     0.02819      0.03521
  596   9.226e+04    0.007011     0.02821      0.03522
  597   9.441e+04    0.007002     0.02822      0.03523
  598   9.661e+04    0.006994     0.02824      0.03523
  599   9.886e+04    0.006985     0.02825      0.03524
  600   1.012e+05    0.006979     0.02827      0.03525
  601   1.035e+05    0.006972     0.02828      0.03526
  602   1.059e+05    0.006965      0.0283      0.03527
  603   1.084e+05    0.006958     0.02832      0.03528
  604   1.109e+05    0.006951     0.02833      0.03528
  605   1.135e+05    0.006945     0.02835       0.0353
  606   1.161e+05     0.00694     0.02837      0.03531
  607   1.189e+05    0.006934     0.02839      0.03532
  608   1.216e+05    0.006929      0.0284      0.03533
  609   1.245e+05    0.006924     0.02842      0.03534
  610   1.274e+05    0.006919     0.02844      0.03536
  611   1.303e+05    0.006915     0.02846      0.03537
  612   1.334e+05    0.006911     0.02848      0.03539
  613   1.365e+05    0.006907      0.0285       0.0354
  614   1.396e+05    0.006903     0.02851      0.03542
  615   1.429e+05    0.006899     0.02853      0.03543
  616   1.462e+05    0.006896     0.02855      0.03545
  617   1.496e+05    0.006893     0.02857      0.03547
  618   1.531e+05    0.006891     0.02859      0.03549
  619   1.567e+05    0.006888     0.02862       0.0355
  620   1.603e+05    0.006886     0.02864      0.03552
  621   1.641e+05    0.006883     0.02866      0.03554
  622   1.679e+05    0.006882     0.02868      0.03556
  623   1.718e+05    0.006881      0.0287      0.03558
  624   1.758e+05     0.00688     0.02872       0.0356
  625   1.799e+05    0.006878     0.02875      0.03562
  626   1.841e+05    0.006877     0.02877      0.03564
  627   1.884e+05    0.006877     0.02879      0.03567
  628   1.928e+05    0.006876     0.02881      0.03569
  629   1.972e+05    0.006876     0.02884      0.03571
  630   2.018e+05    0.006876     0.02886      0.03574
  631   2.065e+05    0.006876     0.02888      0.03576
  632   2.113e+05    0.006876     0.02891      0.03579
  633   2.163e+05    0.006878     0.02893      0.03581
  634   2.213e+05    0.006879     0.02896      0.03584
  635   2.265e+05     0.00688     0.02898      0.03586
  636   2.317e+05    0.006881     0.02901      0.03589
  637   2.371e+05    0.006882     0.02903      0.03592
  638   2.427e+05    0.006884     0.02906      0.03594
  639   2.483e+05    0.006886     0.02909      0.03597
  640   2.541e+05    0.006888     0.02911        0.036
  641     2.6e+05    0.006891     0.02914      0.03603
  642   2.661e+05    0.006893     0.02917      0.03606
  643   2.723e+05    0.006895     0.02919      0.03609
  644   2.786e+05    0.006898     0.02922      0.03612
  645   2.851e+05    0.006902     0.02925      0.03615
  646   2.917e+05    0.006905     0.02928      0.03618
  647   2.985e+05    0.006908      0.0293      0.03621
