# FILE_NAME
# REACTION
# BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
# NUMBER_OF_DATA_POINTS
# POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
#  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
# -------------------------------------------------------------------------------------------------------
# KMP_ELASTIC.DAT
# K- P --> P K-
# 0.493680    0.938270      0.            2
# 312
 166  0.97000    0.95000    0.99000    20.400     0.84000 0.84000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 167  0.97000    0.97000    0.97000    20.720     0.82000 0.82000    0.0  0.0  CONFORTO 71      NP B34, 41
 168  0.98000    0.97020    0.98980    22.400     3.3000  3.3000     0.0  0.0  HOLLEY 67        PR 154, 1273
 169  0.99000    0.99000    0.99000    21.220     1.0500  1.0500     0.0  0.0  CAMERON 80       NP B193, 21
 170  0.99100    0.97100    1.01100    21.400     0.85000 0.85000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 171  0.99100    0.99100    0.99100    22.150     0.83000 0.83000    0.0  0.0  CONFORTO 71      NP B34, 41
 172  1.00500    1.00500    1.00500    21.750     0.73000 0.73000    0.0  0.0  CONFORTO 76      NP B105, 189
 173  1.02000    1.00980    1.03020    20.800     3.1000  3.1000     0.0  0.0  HOLLEY 67        PR 154, 1273
 174  1.02200    1.00200    1.04200    22.100     0.98000 0.98000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 175  1.02200    1.02200    1.02200    22.150     0.98000 0.98000    0.0  0.0  CONFORTO 71      NP B34, 41
 176  1.04000    1.04000    1.04000    23.300     1.0000  1.0000     0.0  0.0  SODICKSON 64     PR 133, B757
 177  1.04400    1.02400    1.06400    21.500     0.89000 0.89000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 178  1.04400    1.04400    1.04400    21.460     0.89000 0.89000    0.0  0.0  CONFORTO 71      NP B34, 41
 179  1.04500    1.04500    1.04500    22.220     0.63000 0.63000    0.0  0.0  CONFORTO 76      NP B105, 189
 180  1.06000    1.04940    1.07060    21.200     3.1000  3.1000     0.0  0.0  HOLLEY 67        PR 154, 1273
 181  1.06100    1.04100    1.08100    20.600     0.80000 0.80000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 182  1.06100    1.06100    1.06100    20.560     0.80000 0.80000    0.0  0.0  CONFORTO 71      NP B34, 41
 183  1.08000    1.06000    1.10000    18.700     0.83000 0.83000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 184  1.08000    1.08000    1.08000    18.740     0.83000 0.83000    0.0  0.0  CONFORTO 71      NP B34, 41
 185  1.08500    1.08500    1.08500    19.830     0.59000 0.59000    0.0  0.0  CONFORTO 76      NP B105, 189
 186  1.10000    1.08900    1.11100    18.300     2.7000  2.7000     0.0  0.0  HOLLEY 67        PR 154, 1273
 187  1.10200    1.08200    1.12200    18.600     0.80000 0.80000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 188  1.10200    1.10200    1.10200    18.770     0.80000 0.80000    0.0  0.0  CONFORTO 71      NP B34, 41
 189  1.11700    1.09700    1.13700    17.600     0.74000 0.74000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 190  1.11700    1.11700    1.11700    17.820     0.75000 0.75000    0.0  0.0  CONFORTO 71      NP B34, 41
 191  1.12500    1.12500    1.12500    17.890     0.49000 0.49000    0.0  0.0  CONFORTO 76      NP B105, 189
 192  1.13400    1.11400    1.15400    17.000     0.82000 0.82000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 193  1.13400    1.13400    1.13400    17.750     0.79000 0.79000    0.0  0.0  CONFORTO 71      NP B34, 41
 194  1.13800    1.13800    1.13800    15.700     0.38000 0.38000    0.0  0.0  GRISELIN 75      NP B93, 189
