-------------------------------G4_H
-------------------------------anti_proton
### Fill Cross Sections for anti_proton off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  514   1.396e+04    0.003584     0.04501      0.04859
  515   1.429e+04    0.003561     0.04487      0.04843
  516   1.462e+04    0.003539     0.04473      0.04827
  517   1.496e+04    0.003517     0.04459      0.04811
  518   1.531e+04    0.003496     0.04445      0.04795
  519   1.567e+04    0.003475     0.04432      0.04779
  520   1.603e+04    0.003454     0.04418      0.04764
  521   1.641e+04    0.003434     0.04405      0.04749
  522   1.679e+04    0.003414     0.04392      0.04734
  523   1.718e+04    0.003394     0.04379      0.04719
  524   1.758e+04    0.003375     0.04367      0.04704
  525   1.799e+04    0.003356     0.04354       0.0469
  526   1.841e+04    0.003337     0.04342      0.04676
  527   1.884e+04    0.003319      0.0433      0.04662
  528   1.928e+04    0.003301     0.04318      0.04648
  529   1.972e+04    0.003283     0.04306      0.04634
  530   2.018e+04    0.003266     0.04294      0.04621
  531   2.065e+04    0.003249     0.04283      0.04608
  532   2.113e+04    0.003232     0.04271      0.04595
  533   2.163e+04    0.003215      0.0426      0.04582
  534   2.213e+04    0.003199     0.04249      0.04569
  535   2.265e+04    0.003183     0.04238      0.04556
  536   2.317e+04    0.003167     0.04227      0.04544
  537   2.371e+04    0.003152     0.04217      0.04532
  538   2.427e+04    0.003136     0.04206       0.0452
  539   2.483e+04    0.003121     0.04196      0.04508
  540   2.541e+04    0.003106     0.04186      0.04496
  541     2.6e+04    0.003092     0.04176      0.04485
  542   2.661e+04    0.003078     0.04166      0.04473
  543   2.723e+04    0.003063     0.04156      0.04462
  544   2.786e+04     0.00305     0.04146      0.04451
  545   2.851e+04    0.003036     0.04137       0.0444
  546   2.917e+04    0.003023     0.04127       0.0443
  547   2.985e+04    0.003009     0.04118      0.04419
  548   3.055e+04    0.002996     0.04109      0.04409
  549   3.126e+04    0.002984       0.041      0.04398
  550   3.199e+04    0.002971     0.04091      0.04388
  551   3.273e+04    0.002959     0.04082      0.04378
  552    3.35e+04    0.002946     0.04074      0.04368
  553   3.428e+04    0.002935     0.04065      0.04359
  554   3.508e+04    0.002923     0.04057      0.04349
  555   3.589e+04    0.002911     0.04049       0.0434
  556   3.673e+04      0.0029     0.04041      0.04331
  557   3.758e+04    0.002889     0.04033      0.04321
  558   3.846e+04    0.002877     0.04025      0.04312
  559   3.936e+04    0.002867     0.04017      0.04304
  560   4.027e+04    0.002856     0.04009      0.04295
  561   4.121e+04    0.002845     0.04002      0.04286
  562   4.217e+04    0.002835     0.03994      0.04278
  563   4.315e+04    0.002825     0.03987       0.0427
  564   4.416e+04    0.002815      0.0398      0.04261
  565   4.519e+04    0.002805     0.03973      0.04253
  566   4.624e+04    0.002796     0.03966      0.04246
  567   4.732e+04    0.002786     0.03959      0.04238
  568   4.842e+04    0.002777     0.03952       0.0423
  569   4.955e+04    0.002768     0.03946      0.04223
  570    5.07e+04    0.002759     0.03939      0.04215
  571   5.188e+04     0.00275     0.03933      0.04208
  572   5.309e+04    0.002741     0.03927      0.04201
  573   5.433e+04    0.002733     0.03921      0.04194
  574   5.559e+04    0.002724     0.03915      0.04187
  575   5.689e+04    0.002716     0.03909       0.0418
  576   5.821e+04    0.002708     0.03903      0.04174
  577   5.957e+04      0.0027     0.03897      0.04167
  578   6.095e+04    0.002692     0.03891      0.04161
  579   6.237e+04    0.002685     0.03886      0.04154
  580   6.383e+04    0.002677     0.03881      0.04148
  581   6.531e+04     0.00267     0.03875      0.04142
  582   6.683e+04    0.002663      0.0387      0.04136
  583   6.839e+04    0.002656     0.03865       0.0413
  584   6.998e+04    0.002649      0.0386      0.04125
  585   7.161e+04    0.002642     0.03855      0.04119
  586   7.328e+04    0.002635      0.0385      0.04114
  587   7.499e+04    0.002629     0.03846      0.04108
  588   7.674e+04    0.002622     0.03841      0.04103
  589   7.852e+04    0.002616     0.03836      0.04098
  590   8.035e+04     0.00261     0.03832      0.04093
  591   8.222e+04    0.002604     0.03828      0.04088
  592   8.414e+04    0.002598     0.03824      0.04083
  593    8.61e+04    0.002593     0.03819      0.04079
  594    8.81e+04    0.002587     0.03815      0.04074
  595   9.016e+04    0.002582     0.03812       0.0407
  596   9.226e+04    0.002576     0.03808      0.04065
  597   9.441e+04    0.002571     0.03804      0.04061
  598   9.661e+04    0.002566       0.038      0.04057
  599   9.886e+04    0.002561     0.03797      0.04053
  600   1.012e+05    0.002556     0.03793      0.04049
  601   1.035e+05    0.002552      0.0379      0.04045
  602   1.059e+05    0.002547     0.03787      0.04042
  603   1.084e+05    0.002543     0.03784      0.04038
  604   1.109e+05    0.002538     0.03781      0.04034
  605   1.135e+05    0.002534     0.03778      0.04031
  606   1.161e+05     0.00253     0.03775      0.04028
  607   1.189e+05    0.002526     0.03772      0.04025
  608   1.216e+05    0.002522     0.03769      0.04021
  609   1.245e+05    0.002518     0.03767      0.04018
  610   1.274e+05    0.002515     0.03764      0.04016
  611   1.303e+05    0.002511     0.03762      0.04013
